t,ch1,ch1_marked
165.379,0.27862,0.26462113857269287
165.38,0.26328,0.8396117091178894
165.381,0.27606,0.493610680103302
165.382,0.26328,0.12968453764915466
165.383,0.25306,0.10603954643011093
165.384,0.26584,0.20208123326301575
165.385,0.27351,0.14771978557109833
165.386,0.26073,0.48308998346328735
165.387,0.27862,0.28476348519325256
165.388,0.29651,0.31881991028785706
165.389,0.27862,0.5023618936538696
165.39,0.29651,0.2662997841835022
165.391,0.27862,0.2957993447780609
165.392,0.28885,0.21006686985492706
165.393,0.29396,0.46904557943344116
165.394,0.28373,0.4186214804649353
165.395,0.28373,0.12605711817741394
165.396,0.31952,0.27343353629112244
165.397,0.30163,0.7790243625640869
165.398,0.29396,0.03457273915410042
165.399,0.32208,1.4195547009876464e-05
165.4,0.32463,6.345716974465176e-05
165.401,0.33486,2.2866346625960432e-05
165.402,0.33741,1.731962947815191e-05
165.403,0.36297,3.0225206501199864e-05
165.404,0.35531,4.439430631464347e-05
165.405,0.38598,4.1783121560001746e-05
165.406,0.38854,9.306638094130903e-05
165.407,0.39365,1.4442982319451403e-05
165.408,0.40643,7.229259063024074e-05
165.409,0.42432,1.1366947546775918e-05
165.41,0.42432,5.792901720269583e-05
165.411,0.44733,7.13546705810586e-06
165.412,0.44988,1.2853863154305145e-05
165.413,0.47033,0.00010515826579649001
165.414,0.49334,7.339446892729029e-05
165.415,0.51379,0.0002176228299504146
165.416,0.52401,4.322779568610713e-05
165.417,0.53935,4.521520168054849e-05
165.418,0.55469,0.00010923846275545657
165.419,0.55724,4.4044638343621045e-05
165.42,0.56747,4.775472916662693e-05
165.421,0.5828,9.526382200419903e-05
165.422,0.59303,0.00026575452648103237
165.423,0.59303,3.858817308355356e-06
165.424,0.58536,8.779931704339106e-06
165.425,0.61859,1.5450963473995216e-05
165.426,0.61859,8.00534962763777e-06
165.427,0.63393,1.6044663425418548e-05
165.428,0.63393,2.238853539893171e-06
165.429,0.64926,5.5402101679646876e-06
165.43,0.65693,6.173662541186786e-07
165.431,0.63904,3.3522737794555724e-06
165.432,0.6646,4.907767106487881e-06
165.433,0.69272,3.718541847774759e-06
165.434,0.67738,4.953760708303889e-07
165.435,0.6876,5.815109943796415e-06
165.436,0.69783,9.833458989305655e-07
165.437,0.69783,3.1997751648304984e-06
165.438,0.71061,3.121145937257097e-06
165.439,0.72083,4.885259386355756e-06
165.44,0.70294,1.358125018668943e-06
165.441,0.72339,2.175422878281097e-06
165.442,0.71061,4.944844476995058e-06
165.443,0.71317,1.3705939636565745e-06
165.444,0.71317,7.335660029639257e-06
165.445,0.71572,7.317633844650118e-06
165.446,0.73362,9.751318430062383e-06
165.447,0.69783,2.717581764954957e-06
