t,ch1,ch1_marked,ch1_ai_marked
167.851,0.52912,0.0,0.0132395736873149
167.852,0.5419,0.0,0.0192119143903255
167.853,0.52146,0.0,0.0148125495761632
167.854,0.52146,0.0,0.0061947391368448
167.855,0.53168,0.0,0.0144072640687227
167.856,0.52657,0.0,0.0104247219860553
167.857,0.5189,0.0,0.0031905805226415
167.858,0.52657,0.0,0.0156012345105409
167.859,0.52146,0.0,0.004509407095611
167.86,0.52401,0.0,0.0265897922217845
167.861,0.49589,0.0,0.0061307484284043
167.862,0.48311,0.0,0.0220095906406641
167.863,0.49078,0.0,0.0038227508775889
167.864,0.50356,0.0,6.883079549879767e-06
167.865,0.50356,0.0,5.095922824693844e-05
167.866,0.50612,0.0,2.181909621867817e-05
167.867,0.49334,0.0,1.218928218804649e-06
167.868,0.50356,0.0,6.790486804675311e-05
167.869,0.49845,0.0,5.64457423024578e-06
167.87,0.49589,0.0,3.993750851805089e-06
167.871,0.49334,0.0,2.5066023226827383e-05
167.872,0.49078,0.0,4.065839311806485e-05
167.873,0.49078,0.0,3.7858665109524736e-06
167.874,0.50101,0.0,0.0001558815565658
167.875,0.478,0.0,0.0008081856067292
167.876,0.45755,0.0,0.0001205902954097
167.877,0.46522,0.0,4.091483060619794e-05
167.878,0.48567,0.0,6.406439297279576e-06
167.879,0.478,0.0,7.390564860543236e-06
167.88,0.48567,0.0,1.5549281670246273e-05
167.881,0.48056,0.0,1.404948307026643e-06
167.882,0.47544,0.0,3.365121528986492e-06
167.883,0.46778,0.0,5.126420091983164e-06
167.884,0.46522,0.0,3.6276880564400926e-05
167.885,0.44988,0.0,0.0007330547086894
167.886,0.45755,0.0,0.0002625302586238
167.887,0.46266,0.0,0.0019961663056164
167.888,0.44733,0.0,1.1909225577255713e-05
167.889,0.45755,0.0,8.463927952107042e-05
167.89,0.46522,0.0,0.0001270727079827
167.891,0.45755,0.0,0.0008437650976702
167.892,0.45244,0.0,0.0002400505036348
167.893,0.4371,0.0,9.87916355370544e-05
167.894,0.44988,0.0,7.023343641776592e-05
167.895,0.45755,0.0,0.0001271467772312
167.896,0.45244,0.0,0.0003995827864855
167.897,0.44733,0.0,0.0001503147941548
167.898,0.43966,0.0,4.6676600504724775e-06
167.899,0.42943,0.0,5.778104969067499e-05
167.9,0.4371,0.0,0.0005331716965883
167.901,0.43966,0.0,0.0002930723130702
167.902,0.42432,0.0,0.0003523128398228
167.903,0.43966,0.0,0.0002223777555627
167.904,0.4371,0.0,0.0002493922656867
167.905,0.44733,0.0,0.0002951126662082
167.906,0.42177,0.0,0.0003829732886515
167.907,0.43966,0.0,0.0020273639820516
167.908,0.44221,0.0,0.0020400893408805
167.909,0.43455,0.0,3.5712939279619604e-05
167.91,0.43455,0.0,0.0001204604195663
167.911,0.42943,0.0,1.7444119293941185e-05
167.912,0.41154,0.0,0.0001033407024806
167.913,0.41665,0.0,4.389762762002647e-05
167.914,0.43455,0.0,7.773831021040678e-05
167.915,0.44477,0.0,1.7001044398057275e-05
167.916,0.4371,0.0,2.862868132069707e-05
167.917,0.4371,0.0,6.777625094400719e-05
167.918,0.42177,0.0,0.0024091876111924
167.919,0.41921,0.0,1.888570113806054e-05
167.92,0.42688,0.0,0.000827528478112
167.921,0.41665,0.0,0.0001950080913957
167.922,0.40387,0.0,0.0001139335145126
167.923,0.41665,0.0,4.953229290549643e-05
167.924,0.41665,0.0,7.207341695902869e-05
167.925,0.41665,0.0,2.4770410163910128e-05
167.926,0.41921,0.0,3.628137710620649e-05
167.927,0.4141,0.0,4.439637996256352e-05
167.928,0.41665,0.0,0.0002546407631598
167.929,0.41921,0.0,0.0003041489981114
167.93,0.41921,0.0,0.0005375701584853
167.931,0.42432,0.0,7.194349745986983e-05
167.932,0.41665,0.0,2.1655680029653013e-05
167.933,0.40898,0.0,6.922340980963781e-05
167.934,0.40643,0.0,1.6006562873371877e-05
167.935,0.41154,0.0,0.0003350322076585
167.936,0.39876,0.0,0.0002004858397413
167.937,0.41154,0.0,0.0007775741396471
167.938,0.39876,0.0,0.000758878653869
167.939,0.41665,0.0,0.002774852560833
167.94,0.40898,0.0,0.0003736155631486
167.941,0.4141,0.0,0.0011355148162692
167.942,0.41154,0.0,0.0003388285695109
167.943,0.4141,0.0,2.902035475926823e-06
167.944,0.40643,0.0,2.659628819401405e-07
167.945,0.40643,0.0,4.847523996431846e-06
167.946,0.38598,0.0,1.0041273526439907e-05
167.947,0.39109,0.0,1.3409344319370575e-05
167.948,0.39365,0.0,3.460797233856283e-05
167.949,0.39365,0.0,1.5346144209615886e-05
167.95,0.38598,0.0,3.842242222162895e-05
167.951,0.40643,0.0,3.956248747272184e-06
167.952,0.38854,0.0,1.2638749467441812e-05
167.953,0.39365,0.0,2.257337291666772e-05
167.954,0.40132,0.0,3.189628114341758e-05
167.955,0.42432,0.0,7.801374886184931e-05
167.956,0.39365,0.0,5.527654593606712e-06
167.957,0.38087,0.0,1.1134896340081468e-05
167.958,0.38087,0.0,9.733219485497102e-06
167.959,0.41154,0.0,2.205083319495316e-06
167.96,0.39365,0.0,1.2637134204851463e-05
167.961,0.38854,0.0,4.245421223458834e-06
167.962,0.38854,0.0,1.9252738638897422e-06
167.963,0.40132,0.0,1.8597289454191923e-05
167.964,0.39876,0.0,2.0316797417763155e-06
167.965,0.38598,0.0,9.602470072422875e-07
167.966,0.37575,0.0,3.5330424452695297e-07
167.967,0.3962,0.0,5.89810554174619e-07
167.968,0.39109,0.0,7.936440056255378e-07
167.969,0.38342,0.0,8.764830567997706e-07
